,feature_importance_vals
ESCO2,161.34394113877062
UCHL1,81.58912228862297
CCDC80,77.02733105165396
PLAU,62.57173318973319
TM4SF1,57.95869779023836
HIST1H3B,53.86671121295819
HIST1H3G,51.92598179232612
MELK,48.92192650452688
FGF2,47.75864227167012
KCNK1,47.5631106950221
ANLN,42.03381260375834
NCAPG,40.36143586636072
PPP1R1B,39.899500565049166
STEAP1,39.443613818442685
ERCC6L,39.26519872767306
CKAP2L,39.03678684593537
ZBED2,38.13964058593407
TINAGL1,36.15462590998835
SPC24,34.94002617120487
PLAT,34.53919560048297
ITGA2,34.031620492261666
S100A2,33.392880284306415
LHX1,32.095295389637684
GPRC5A,32.059781016595
SAA1,31.982642335144046
PBK,31.745445341593292
LAMB3,29.94918456611612
TGM5,29.450999218316912
CTXN1,28.29395084003454
EDN1,28.22718016365486
TRNP1,28.033807042698566
MMP1,26.70851439729126
PFN4,26.529972114608576
CENPA,26.211306486536905
LINC00624,25.7729509848517
GNG12,25.656707714255486
AHNAK2,25.191106868357807
CASC9,25.02885977853919
UBE2C,24.706996700073546
CABLES1,24.62146874704626
DENND2A,24.591736629397126
SLPI,24.38618795221046
FJX1,24.350475032199963
FERMT2,24.331023860122933
DEPDC1,24.111658127910925
SMIM22,23.919986607911845
MFAP5,23.500101662053186
TGM2,23.232700245972392
GRB7,22.335783552017208
CDH18,22.329375929823005
CST6,21.54024244760069
AP1M2,21.335192767711188
DLGAP5,21.268161523256627
SEZ6L2,21.123417301278884
CDC20,20.461212229152896
CHDH,20.455282684877268
EEF1A2,18.725982437597136
FGD1,18.662114999383686
ARHGEF28,18.491159595089695
NFIB,18.151114335053688
ZNF462,18.140741013108737
TPX2,18.032380159159427
TMEM125,17.78340528923479
BDNF,17.71753750504257
LAD1,17.404423122791528
CXCL5,17.138057988740794
FAM171B,17.003548818249246
GPX3,16.978399437812158
IL1A,16.958627861024773
CASC19,16.2921165078962
SH2D4A,16.236599754661352
CDCP1,16.235624151649883
S100A3,15.800442407260435
PLK1,15.619165223416289
CAMSAP3,15.498181093669999
F3,15.436272886279609
RAB3B,15.396634599929287
C3,15.375959629137139
INHBA,15.269071318760995
BIRC5,15.10250552203882
ZNF114,14.781167578012152
TOP2A,14.703641767414942
HMMR,14.412274749935445
CCNB2,14.267108295321561
RRM2,13.565332762921363
DCBLD2,13.51234710599576
KIF14,13.402753511080428
PGBD5,13.365656087949233
RIMS2,13.194284299693232
CRNDE,13.034472274202004
CDK1,12.95113306972348
TMEM178B,12.933203408496663
MKI67,12.808655338694528
L1CAM,12.761158871267604
SCG5,12.646099095631149
APOE,12.579177811787018
MACC1,12.406651024684832
TYMS,12.249533916845754
MYRF,12.149197844850626
KRT7,12.143195722773255
SULT1C2,12.120899743888257
TACSTD2,12.09146592375975
PDZK1IP1,11.911526929679184
ITGA3,11.397017504276233
PXDN,11.35792430395655
THSD7A,11.260803456946036
TK1,11.06123673834394
PIP5KL1,11.000170983229536
FN1,10.79342887625163
AURKB,10.73393838000344
AXL,10.715746160727281
CDT1,10.640664575099128
ERVMER34-1,10.418891884333016
TRIP13,10.407168960213967
MND1,10.405124606039738
CLSPN,10.379018046593933
MNS1,10.311403870893455
PAQR9-AS1,10.297078542957378
CDKN3,10.149953064560151
CXCL1,10.13586564950804
HOXB-AS3,10.110650423207941
IFI27,10.039641779111196
ARHGAP42,9.967883964670527
PYCR1,9.67488228915276
AFAP1L1,9.404509735718579
SDC4,9.39208308478313
MIR100HG,9.379317109787392
CENPF,9.333773452469664
MCPH1-AS1,9.249742666996369
DTNA,9.109739048643648
NUSAP1,9.001632072979756
CCNA2,8.905932531367911
DMKN,8.840688775593216
C15orf48,8.752037196127338
CDC6,8.708880703503786
KRT18,8.683975583224353
FMNL2,8.67442587302924
CCND1,8.641921176736249
GDF15,8.591579639719118
SDC2,8.576519946609695
VANGL1,8.533332374969197
TXNDC5,8.4952138579424
BHLHE41,8.346336143127738
CDH3,8.326988179880658
IGFBP3,8.3230891494448
CCNB1,8.303030779890634
TRIP10,8.262015119499553
HIST1H1B,8.070710571563328
APOC1,7.923275561687023
MSLN,7.919137409762839
SAMD12,7.899138915160519
CBX2,7.8514686244467065
MIR99AHG,7.818727454233707
MYBL2,7.790162383334094
ZNF888,7.685562808756373
CENPE,7.6557610979774635
TNFRSF21,7.62226358095738
PDLIM4,7.551275336257088
PMEPA1,7.5218452260158735
NT5DC2,7.478912635020906
HIST1H2AJ,7.460966603111063
DMC1,7.442928027572598
MYO10,7.314533308503825
CTTN,7.2134603157906145
EPHA2,7.200192676792038
DTL,7.1879441422715695
JSRP1,7.183125077091278
HIST1H1A,7.130797569257069
ARHGAP11A,7.118682664799062
QPRT,7.025914139825171
LIF,6.897627980922125
KIF23,6.8776680003569
FHL2,6.749163024247792
PEG10,6.711073791248912
CP,6.663298501542004
LRP6,6.625814362907633
PRC1,6.495120166170403
PSAT1,6.492406118222047
SYCE1,6.456185954372067
BCAT1,6.3846484940033585
EGFL7,6.3383030595518175
IER5L,6.282771727612396
CDCA8,6.259031929162498
TGFBR3L,6.12434561057503
HACD1,6.090953594545915
TTC26,6.077885691774267
ITGAV,6.076490522086269
SLC7A5,6.076345635600561
PHGDH,6.07329702128961
LMCD1,6.0590536891330835
SHCBP1,6.042547092373425
LY6K,6.010222905915819
NFIX,5.993425434915947
PLTP,5.952045759428307
ENAH,5.944487032943502
LCN2,5.942320379016799
THBS1,5.9264226643580535
RHOBTB3,5.895321339340783
PIF1,5.868004122963201
ERBB2,5.783904241595911
BEX1,5.647150382379204
GATA2,5.62603827177521
PRR11,5.613516393335282
SMIM24,5.613081496325706
STAC,5.60026605540086
NEK11,5.525924164911567
CENPU,5.505972376846372
GNG11,5.43204654887007
ZWINT,5.402089580721805
PCDHB5,5.385578349560847
NUF2,5.383600542118313
MARVELD2,5.382213811211647
KIFC1,5.354354273623543
ADGRG6,5.354272153573337
KIAA1549,5.326103582411388
CDKN2A,5.319762491462328
MT1E,5.290455735913767
FSCN1,5.283925186091306
CD70,5.25609683162681
SPDL1,5.244480682815601
CKB,5.230121085781942
RASD1,5.219739781465695
MGLL,5.188634327666899
MROH6,5.12967410456392
PDGFB,5.128465322665929
TPM2,5.105391845040079
ATP1B1,5.09689620947976
RBBP8,5.038956707879292
MCM4,5.024052532598756
SH3TC2,5.013234186235893
RASSF6,5.002917361292694
FAM114A1,4.974334897617054
P3H4,4.935347272856242
HES1,4.903020881377131
PALLD,4.900488321202011
CCL20,4.893566537909261
PSPH,4.796578807236165
TUBB6,4.7760259169488934
BCAR3,4.762734265809655
NDC80,4.752152886551872
FANCI,4.737026520638604
CRIM1,4.726589719276885
IFT81,4.705916307370564
IGF2BP2,4.671737017149809
PLK2,4.664633341535507
DHFR,4.654295070322922
CD3EAP,4.652992613885372
FAM111B,4.643670391255469
HOXA9,4.620072286296008
NDN,4.613425123287804
HIST1H2AG,4.612836240156717
FKBP1B,4.604907268689104
SMOX,4.517711097579031
LTBP1,4.5026677463699265
TMEM97,4.481182931879665
MUC16,4.390367603047554
KIF1C,4.382910525835715
RFC3,4.367735552047379
ZDHHC9,4.362994081308844
ALCAM,4.348433641496244
MCM2,4.313432863836302
SLC26A2,4.311923700396108
SCOC-AS1,4.303991759083758
FBXO5,4.2793396943058175
TNNT1,4.26360907990888
MPP5,4.25844202744492
RAB13,4.24635253643492
MYL9,4.241943210098681
NETO2,4.232612649455953
CCNJL,4.2068156731428825
ADAMTS1,4.19875456425263
MYO1C,4.197539654254896
SERINC2,4.176469153977088
PAPSS2,4.169673536220948
SPA17,4.1669947338723485
AMIGO2,4.128928751272079
FLNB,4.126749566206158
ATAD2,4.089090318535418
ANO10,4.065954709606027
C2orf88,4.0489456734447105
HS3ST1,4.029093803486868
KIFC3,4.003810057931441
ITGB3,3.999737591493203
MORC4,3.972737719781242
WNK4,3.971138183660082
TUBA1C,3.9625193880242877
HBEGF,3.940628776510491
RFC4,3.9215741013307253
TMEM158,3.9147218123552903
EPHB1,3.8964813516602206
RAMP1,3.853960767029934
PHLDA2,3.8504430742278397
TMEM98,3.8486750569774526
PTTG1,3.8028533238980597
CNRIP1,3.78384921537712
IL4I1,3.7742358588150418
B4GALNT4,3.7699965575779015
MSRB3,3.7663222204375617
ALDH3A1,3.7657613650205652
CKAP2,3.737784662899275
RAD51AP1,3.735616654865483
NEXN,3.7347701124794233
DHX33,3.7309868766836347
HELLS,3.7020176476328994
PHLDA1,3.688751551200151
PIR,3.6857288278775497
TFRC,3.6687115914813258
SCRN1,3.657547993606668
TAGLN,3.650093137057272
CD24,3.6416269692062335
FAM200A,3.6415237051537845
GAS6,3.630000616813187
