col_name,feature_importance_vals
CXCL8,0.0
VIM,-0.01701570704601065
LCN2,0.2337932506165697
IL1B,0.0
S100A4,0.0
EREG,0.0
SERPINA1,0.0
LTB,0.0
HIST1H4C,0.22474505888707721
CXCL2,0.0
CRIP1,0.0
G0S2,0.0
ISG15,0.0
NEAT1,0.0
MT2A,0.16658497729513067
TOP2A,0.0
ATP1B1,0.0
ID2,0.0
GAPDH,0.0
IL32,0.0
FTL,0.0
ANXA2,-0.015606883243076249
CD38,0.0
CD24,0.0
CENPF,1.0067354555604522
PDIA4,0.0
IGFBP7,0.0
EGR1,0.0
PPP1R14A,0.0
ID1,0.0
ID3,0.0
UGCG,0.265941172331514
SRGN,0.0
MKI67,0.637531986198576
ACTB,0.0
MYL9,0.0
CD9,0.0
IL1RN,0.0
NPC2,0.0
CA2,0.0
HSP90B1,0.0
C12orf75,0.05942277831617216
IFI27,0.0
IFI6,0.0
CEBPD,0.0
BEX1,0.0
S100A9,0.0
TGFBI,0.0
SOD2,0.0
AREG,0.0
HMGA1,0.0
TNFAIP2,0.0
TNFSF10,0.0
CLIC3,0.0
CTSB,0.0
ATF3,0.0
CYBA,0.0
PDZK1IP1,0.0
MT1E,0.01986852888560335
INHBA,0.0
CALR,0.0
CST6,0.0
CYP1B1,0.0
IFIT2,0.0
IFIT3,0.0
TACSTD2,0.0
CCNB1,0.0
CD74,0.0
CDKN2A,0.0
NFKBIZ,0.0
MROH8,0.0
YBX3,0.0
CXCL3,0.0
PLAC8,0.0
POU2F2,0.0
IFIT1,0.0
UBE2C,0.0
HMOX1,0.0
PBK,0.0
CDCP1,0.0
C15orf48,0.6166053192576835
CLU,0.0
MAL,0.0
JUN,0.0
CCNE2,0.0
CDKN1C,0.3804584920618434
TPM1,0.0
S100A6,0.0
THBS1,0.0
CD40,0.0
PLK2,0.0
ITGB1,0.0
PYCARD,0.0
NME4,0.0
NFKBIA,0.0
NAMPT,0.0
CDC20,0.0
MGST1,0.0
MEF2C,0.0
PLAUR,0.0
CD69,0.0
MX1,0.0
PHGDH,0.0
FOS,0.0
NCAM1,0.0
CYB5D2,0.0
BID,0.0
IFITM2,0.0
PTPRS,0.0
ARPC1B,0.0
LIMS1,-0.15486116596733052
TPX2,0.1452971533542146
RNASET2,0.0
IL6,0.0
NET1,0.0
MYC,0.0
TPM4,0.038460176546389446
EFHD2,0.0
GLIPR1,0.0
VCAN,0.0
PARD3,0.0
TAGLN,0.0
OGFRL1,0.0
EGLN3,0.0
TSHZ2,0.0
DDIT4,0.0
BIRC3,0.0
CKS2,0.0
UCP2,0.0
CLEC4E,0.0
CD82,0.0
SAT1,0.0
TNIP3,0.0
DLGAP5,0.0
NUF2,0.0
CCNB2,0.0
PTGS2,0.0
SSR3,0.0
SYN1,0.0
HSPA5,0.0
RGS2,0.0
FEZ1,0.0
NUSAP1,0.0
PTTG1,0.0
SDC2,0.0
TYMS,0.0
MGLL,0.0
CCND1,0.0
FXYD2,0.0
OASL,0.0
CLGN,0.0
PDIA6,0.0
HGD,0.0
KPNA2,0.0
TNFAIP3,0.0
IER3,0.14113156023754547
UBE2S,0.0
PCNA,-0.017796875573623264
ADM,0.0
HBEGF,0.0
HERPUD1,0.0
RGCC,0.0
ITGB3,0.0
MT-ATP6,0.0
KLF10,0.0
CDK6,0.0
TCF4,0.0
HIST1H1E,0.0
CXCL16,0.0
IFI44L,0.0
COL6A2,0.0
GADD45B,0.0
RPLP1,0.0
CEBPB,0.0
HIST1H2AJ,0.0
PEG10,0.0
RNF144B,0.0
TNFRSF21,0.0
NRG1,0.0
CREB5,0.0
PLA2G7,0.0
B3GNT7,0.0
LDLR,0.0
DDAH2,0.0
HIST1H1D,0.0
FAM111B,0.0
CTSV,0.0
LY6E,0.0
SGK1,0.0
ZG16B,0.0
AKR1C3,0.0
TFRC,0.0
HIST1H1C,0.0747877364830404
HHEX,0.0
TUBB6,0.0
DNAJC12,0.0
LDHB,0.0
SERPINB2,0.0
DMC1,0.0
DUSP4,0.0
QPCT,0.0
RPS18,0.0
INSIG1,0.0
H1F0,0.0
FOLR3,0.0
HMGN2,0.0
KCNQ1OT1,0.0
HERC5,0.0
GBP4,0.0
CCDC28B,0.0
PIM1,0.0
KLF4,0.0
ENPP1,0.0
HIST1H2BG,0.0
CD14,0.0
DUSP5,0.0
