,0
S100A9,0.23976528204657846
CST3,0.21797694040544116
CTSS,0.18734655094207842
LST1,0.18037680485111474
LGALS1,0.1777827448617676
S100A4,0.15478042553729943
FTL,0.14823734778785516
S100A6,0.1476485461577641
S100A11,0.14521697230545733
SAT1,0.14233925245415405
NEAT1,0.14109762279502316
TYMP,0.13946893129130197
PSAP,0.13714586215953964
SRGN,0.12893930833700615
LTB,0.12580001967228052
GSTP1,0.12122515442874218
COTL1,0.1201667199784789
VCAN,0.1192704331260252
AP1S2,0.1183148544540872
FTH1,0.11464778427687741
NPC2,0.11066729531361925
SERPINA1,0.11056499328529804
IL32,0.10755759068799892
GRN,0.1075219937925531
RGS2,0.10717440035751187
CFD,0.1027312802498962
STXBP2,0.10063137979664315
CD74,0.09650153618128447
HLA-DQB1,0.09521695093045361
KLF4,0.09409155386546389
CYBA,0.09318161170821615
PYCARD,0.08922915813648385
CD68,0.08883971233403247
NFKBIA,0.08748908491599246
CD14,0.08659105933557502
VIM,0.08550669480067286
GAPDH,0.0850057602446115
ANXA2,0.08163819659403432
CD69,0.08139340314328466
S100A10,0.08069562843338988
IFI30,0.07743427333586017
LDHB,0.07731967193494971
ANXA1,0.07670243009280771
FOS,0.07593106152759305
CEBPB,0.07511533085545927
FCGRT,0.07476947748760492
CXCL8,0.07414803972919325
LGALS3,0.07275125614733825
NAMPT,0.07266161981115155
CPVL,0.07079177381629323
RPS29,0.06781714485768497
PRELID1,0.06699624220393136
DUSP6,0.06650931293373313
IL1B,0.06646917311607378
CEBPD,0.06519945344030804
LCP1,0.0650788758479251
ACTB,0.06309831658810025
NCF2,0.062449956666599984
ITGB2,0.06175012809480015
RHOB,0.06120727866661818
GLIPR1,0.06116666182017238
CARD16,0.06114805877708469
H2AFY,0.059488884331636536
ZFP36L1,0.058936288160501255
ARPC1B,0.057924170932813324
APLP2,0.057311350973038265
CTSZ,0.05697886401458998
TGFBI,0.05674358834195958
IFITM1,0.0552509843644423
CTSH,0.05484997722872231
SOD2,0.05409054659274317
RBP7,0.053788523616476104
CAPG,0.05340086039752212
HLA-DMA,0.05319719759804204
PLBD1,0.052485628720241165
SEC11A,0.049577919493234875
MGST1,0.04954268484352447
KLF6,0.04928137433259226
GNAI2,0.049125472981307365
RPS6,0.04906645761636448
SAMHD1,0.04890172786920035
CDA,0.04870354027919258
BRI3,0.04859840115879151
AHNAK,0.04842032872939827
MT-ND1,0.0478383895382396
MARCKS,0.047405903819599804
TCF7,0.047384372005065935
FOSB,0.046520111870834005
MALAT1,0.04649999579989464
LRRFIP1,0.045879862936742795
PLAUR,0.04575135820905401
PTPRE,0.04561139901323334
CTSB,0.045511462051102555
PGLS,0.04506135820427219
IFITM3,0.044996512127319276
RAB32,0.04476434085586239
EFHD2,0.044476160508085213
LY96,0.04443326728482192
YBX3,0.043776253193657015
MT-ATP6,0.04300024604074216
PPT1,0.042579719264902914
HLA-DMB,0.042209191378942745
ETS1,0.041763251824106645
ISG20,0.041494072926677304
MT-ND4,0.04149191034488975
RPS18,0.04115528509165662
RNASET2,0.04101495664029538
SERPINB1,0.04062494981250385
ALDH2,0.040512877016042684
NFKBIZ,0.040462142874545345
RAB11FIP1,0.039561106692732814
SGK1,0.03926755944254692
MEF2C,0.03899038158727781
HNMT,0.03889690184048686
TNFAIP2,0.03888588555678472
SNX3,0.03840041537462087
DPYSL2,0.038399968786345016
OGFRL1,0.03804618015046894
CMTM6,0.03733174125599156
RPS23,0.0365313303554923
RPL27A,0.03613694908903169
CAPZA2,0.03592223695195697
TXN,0.03555856510330614
JUN,0.035413495911642646
KLF10,0.03496866527486277
BID,0.034806659379232587
SLC11A1,0.034754670477166356
YWHAE,0.03472013602861699
SPOCK2,0.03427554732686383
JUNB,0.03374982530027985
PECAM1,0.033735839042062704
TMSB4X,0.03364322358171922
POU2F2,0.03323610337508725
CD33,0.03187898937598097
QPCT,0.03131416110105417
IFI27L2,0.0312993907157888
MSRB1,0.03122322123911595
SKAP2,0.03045455286075987
CANX,0.030356546781635622
PFN1,0.030259864049138118
PICALM,0.03016639613056365
SUB1,0.030125205600337514
MTPN,0.030099773892237218
RPS24,0.02997442761131132
IFNGR2,0.02972250584182749
SSR3,0.029534397795715973
ID2,0.029439337565132184
CRIP1,0.029320055509693174
WARS,0.029113623052255896
SLC16A3,0.028880187101745714
TNFSF10,0.028780686710778998
IER5,0.028669635035239078
MAL,0.028554100023617683
COMT,0.027990730216908087
MFSD1,0.02736318861260117
NAAA,0.027217811233138368
CTSC,0.0271400517367745
CALM1,0.027129884915202393
DUSP2,0.02703669735842981
ATP6V1B2,0.02684339233025205
MAFB,0.026511834720652015
IRF2BP2,0.0263196592082399
RPL37,0.026303233589894715
CLEC4E,0.0258981482116375
ZYX,0.025742682685506408
RXRA,0.025344477638979488
MGST2,0.02513646630846948
NCOA4,0.02502488197886345
CDC42EP3,0.02490610048112598
IRAK3,0.024758541325091504
HMGB2,0.024621326797806813
SNHG7,0.02422396556360018
GRINA,0.0239918113928929
PHACTR1,0.02396886198506416
H2AFJ,0.02381425557786969
UBE2J1,0.023420469348420573
LACTB,0.02335121144783037
DENND2D,0.02330454861831112
VMA21,0.023051976821294447
HIST1H4C,0.02279064544637922
RNF13,0.022780964586970803
FAM107B,0.022558190474742265
YBX1,0.02254016624461916
CDC25B,0.022512387343169283
YWHAH,0.02242104796242263
BCL2A1,0.022297404842254717
MT-ND2,0.022132134607697442
DPYD,0.021713119229502715
BST2,0.021606828087332622
TET2,0.021264305968555625
PTGS2,0.020865004678666636
LSP1,0.020750576299129384
AHR,0.020726357848492596
CAMK1,0.02053240684766137
NAGA,0.020257794209714793
FUOM,0.0201772569569548
OSCAR,0.020163942978851535
PIM1,0.02014516714338841
SIRPB1,0.020143320749752194
CNN2,0.02014061503399196
TCIRG1,0.020126980954975057
HSPB1,0.02009717206580213
SCO2,0.020087311838504866
RGS19,0.02007244726053424
HMOX1,0.019858011452373214
SLFN5,0.019666950160515992
LAT2,0.019661402099250203
SULF2,0.019570671913135496
OXNAD1,0.019427499611640073
FAM49A,0.019340593551248463
ZNF331,0.019206621379286883
HHEX,0.019054806105264187
NRGN,0.019043007767062834
IER2,0.019012013073086784
IER3,0.019001865109321205
MAP3K1,0.018619435508707708
AKIRIN2,0.018552525962767904
MAPK1,0.01854272370505129
LEPROT,0.018481875501460625
ALOX5,0.018473791681613807
BACH1,0.018457127741169258
HIPK3,0.018388691820211456
LYAR,0.01814318372765098
FKBP11,0.018133385079773887
KYNU,0.01806024677135861
OSTC,0.01801100330001155
MYD88,0.017834313866045545
TMEM14C,0.017549091388712013
MYADM,0.017547758140792916
BIRC3,0.01750401061484417
CMIP,0.017503906990598988
CCPG1,0.01747681644299854
FOSL2,0.017216439593410456
EIF3A,0.017198861996309874
HERPUD1,0.01708921923841386
IRS2,0.016938845537719086
MYC,0.016899279708522317
