col_name,feature_importance_vals
S100A9,165
CST3,38
CTSS,23
LST1,6
LGALS1,2
S100A4,11
S100A6,7
FTL,14
NEAT1,2
SAT1,5
PSAP,77
SRGN,3
LTB,3
VCAN,11
COTL1,3
FTH1,9
IL32,5
CYBA,27
NFKBIA,2
CD74,5
HLA-DQB1,5
VIM,3
GAPDH,5
ANXA1,0
FOS,69
CXCL8,63
RPS29,3
ACTB,42
KLF6,0
RPS6,8
MT-ND1,1
MALAT1,7
MT-ATP6,19
IFITM3,0
MT-ND4,2
ISG20,2
RPS18,6
RPS23,42
RNASET2,3
RPL27A,12
JUN,8
TMSB4X,18
JUNB,1
PFN1,1
RPS24,1
ID2,3
RPL37,3
DUSP2,8
HMGB2,12
NCOA4,0
MT-ND2,2
IER2,1
HLA-B,31
LY6E,1
IFI6,13
CMC1,157
ISG15,5
HES1,132
RPLP1,0
IRF7,226
