,0
CXCL8,0.0
VIM,0.0
LCN2,0.0
IL1B,0.0
S100A4,0.0001708442581354133
EREG,5.5074744295830035e-05
SERPINA1,2.777777777777778e-05
LTB,0.0
HIST1H4C,0.0
CXCL2,5.405405405405405e-05
CRIP1,8.255794494184592e-05
G0S2,0.0
ISG15,2.7910685805422633e-05
NEAT1,0.0
MT2A,0.0
TOP2A,5.46875e-05
ATP1B1,0.00011316872427983542
ID2,5.5826918249518886e-05
GAPDH,0.0
IL32,0.00015906425891181987
FTL,8.33005507474429e-05
ANXA2,2.873563218390802e-05
CD38,0.013944128447611361
CD24,5.4054054054054026e-05
CENPF,0.0
PDIA4,0.0
IGFBP7,0.0001377601329030194
EGR1,0.0
PPP1R14A,7.894736842105267e-05
ID1,0.0
ID3,5.4390054390054376e-05
UGCG,0.0
SRGN,0.0
MKI67,2.7821939586645457e-05
ACTB,0.0
MYL9,2.7821939586645457e-05
CD9,0.0
IL1RN,0.0
NPC2,8.216783216783216e-05
CA2,0.0
HSP90B1,0.0
C12orf75,0.0
IFI27,0.0
IFI6,0.0014183006535947713
CEBPD,0.00010878571586292174
BEX1,0.0
S100A9,0.00016282596646764532
TGFBI,0.0
SOD2,0.0
AREG,0.0
HMGA1,0.0
TNFAIP2,0.00010256410256410255
TNFSF10,0.00047322318580542264
CLIC3,0.003290926998674914
CTSB,0.0
ATF3,2.7910685805422626e-05
CYBA,0.0
PDZK1IP1,0.0
MT1E,7.882882882882882e-05
INHBA,0.0
CALR,0.00018773838773838769
CST6,0.0
CYP1B1,0.0
IFIT2,0.004962667322705646
IFIT3,0.0
TACSTD2,5.417956656346752e-05
CCNB1,0.001637623130978111
CD74,0.0
CDKN2A,2.7777777777777786e-05
NFKBIZ,0.0
MROH8,5.417956656346752e-05
YBX3,5.6134723336006396e-05
CXCL3,0.0
PLAC8,5.733005733005733e-05
POU2F2,0.0
IFIT1,0.0
UBE2C,0.0002791826379224753
HMOX1,0.0
PBK,2.8044871794871778e-05
CDCP1,0.002942926547823109
C15orf48,0.0
CLU,0.0
MAL,2.779639143275505e-05
JUN,0.0
CCNE2,0.0023098381657927812
CDKN1C,0.0
TPM1,0.0
S100A6,2.8455284552845545e-05
THBS1,7.918552036199092e-05
CD40,0.0
PLK2,0.0
ITGB1,0.0
PYCARD,2.6461693548387116e-05
NME4,0.0
NFKBIA,0.0
NAMPT,0.0
CDC20,0.00013390357312465886
MGST1,5.4179566563467505e-05
MEF2C,0.0009218987007747521
PLAUR,0.0
CD69,0.0001382053468507685
MX1,0.0028060821620845573
PHGDH,2.7910685805422633e-05
FOS,0.00010416666666666667
NCAM1,0.0
CYB5D2,8.425614428558076e-05
BID,0.0
IFITM2,0.0
PTPRS,0.0
ARPC1B,2.8455284552845545e-05
LIMS1,0.00044868035190615837
TPX2,0.0
RNASET2,0.0
IL6,0.0
NET1,2.801568878571999e-05
MYC,0.0
TPM4,7.954545454545458e-05
EFHD2,0.0
GLIPR1,8.171280305734089e-05
VCAN,0.0
PARD3,5.417956656346752e-05
TAGLN,0.0
OGFRL1,0.0
EGLN3,8.224176899898458e-05
TSHZ2,0.0032264900711063893
DDIT4,0.0033702373875138815
BIRC3,0.0004443133104066765
CKS2,2.779639143275505e-05
UCP2,2.7910685805422633e-05
CLEC4E,0.0017843672077740705
CD82,0.0
SAT1,5.6003584229390674e-05
TNIP3,0.0
DLGAP5,0.0004717741935483871
NUF2,2.845528455284551e-05
CCNB2,0.0018101462257712258
PTGS2,0.0004721780604133545
SSR3,5.4012345679012355e-05
SYN1,2.78219395866455e-05
HSPA5,0.0
RGS2,0.00011326277405778467
FEZ1,8.179012345679013e-05
NUSAP1,0.0
PTTG1,0.00047840223163035216
SDC2,8.284533894289992e-05
TYMS,5.623306233062329e-05
MGLL,0.00012553802008608326
CCND1,0.0
FXYD2,0.00010256410256410256
OASL,0.0
CLGN,0.0
PDIA6,0.0
HGD,0.0
KPNA2,0.00013469921534437661
TNFAIP3,0.0
IER3,0.0
UBE2S,0.00013426026465782095
PCNA,0.0
ADM,0.0
HBEGF,0.0
HERPUD1,0.0
RGCC,0.0
ITGB3,0.0
MT-ATP6,2.78219395866455e-05
KLF10,0.0
CDK6,5.5074744295830035e-05
TCF4,0.00041753188803273693
HIST1H1E,5.4012345679012355e-05
CXCL16,0.00016531713900134952
IFI44L,0.01002721249771373
COL6A2,0.0
GADD45B,0.0005786393455554927
RPLP1,0.0
CEBPB,2.8455284552845545e-05
HIST1H2AJ,0.0
PEG10,0.0
RNF144B,0.0008664004914004915
TNFRSF21,0.00039705882352941176
NRG1,2.8044871794871778e-05
CREB5,0.0
PLA2G7,0.0
B3GNT7,0.0
LDLR,0.00044582043343653247
DDAH2,0.0
HIST1H1D,0.0
FAM111B,0.0017314694726686742
CTSV,0.00275705430197091
LY6E,0.0
SGK1,0.0
ZG16B,0.0
AKR1C3,5.555555555555557e-05
TFRC,1.555555555555556e-05
HIST1H1C,0.0
HHEX,0.0
TUBB6,0.0005
DNAJC12,0.0
LDHB,0.0
SERPINB2,0.0
DMC1,0.0
DUSP4,5.468749999999999e-05
QPCT,2.946127946127946e-05
RPS18,0.0
INSIG1,0.001490295618473987
H1F0,7.894736842105265e-05
FOLR3,5.395770101652455e-05
HMGN2,0.0
KCNQ1OT1,5.468749999999999e-05
HERC5,0.0
GBP4,0.005863670020160138
CCDC28B,0.0012889721798162324
PIM1,0.0004307076658195204
KLF4,0.0006357518413970027
ENPP1,0.0
HIST1H2BG,0.00133716033106277
CD14,0.002028694787999619
DUSP5,0.00013633440660467685
TMEM98,0.0
ARHGAP24,0.00992954258935471
RPS24,5.555555555555557e-05
ST14,0.0
DAPP1,0.0
ACTN1,0.0
HMMR,0.00011268791302010989
LYAR,0.00013552527786674258
RAB11FIP1,0.0
TSPAN13,2.804487179487179e-05
LAD1,0.0
WARS,0.0
BASP1,0.0
HES1,7.954545454545455e-05
FANK1,0.0
MYLK,0.0
KYNU,0.0
P2RY6,0.0
SPHK1,8.139534883720932e-05
SLC1A5,2.7960526315789477e-05
ALOX5,0.0029445970455800915
CENPE,0.0
IL4R,0.0009694761805767498
CALU,0.0
SPDL1,2.777777777777778e-05
ISG20,8.115498702261773e-05
DUSP6,0.0004459459459459459
HIST1H1B,2.7910685805422626e-05
CCND2,0.0
GBP1,0.005083296517571902
UBE2J1,2.786877786877788e-05
MT-ND1,1.3463877100240717e-05
MDK,0.0001330711283590128
CDA,0.0
ARL4C,0.0
MT-ND4,0.0
SLC16A3,2.801568878571999e-05
IL1R1,0.0
SPNS3,0.006936033449446186
HIST1H2AC,2.7910685805422626e-05
ADAMTS1,5.461369770580296e-05
HIST1H2AH,0.0004997770677917738
SAV1,0.00025168768058838985
YBX1,0.0
MPP1,0.0004459459459459459
S100P,0.00012962962962962963
RAB13,0.00010294117647058827
SLC16A1-AS1,0.0
TUBA1A,0.0
CRELD2,0.00047217806041335446
XBP1,0.0
ARID5B,0.0009724709666241924
FOXJ1,1.433251433251433e-05
NEXN,0.0
SNCA,0.002414051866014121
MANF,0.0
CXCL1,0.00010823362061752156
PLK1,0.0
PSME2,0.0
SIRPB1,8.261586084166724e-05
UNG,2.8225806451612875e-05
OAS3,0.0
LAT2,0.0009715447154471545
HMGCS1,0.0
CNN2,0.0
SERINC2,0.0012657983060459842
IRS2,0.0004443133104066765
ATAD2,0.00010416666666666667
PADI2,0.0
CTSC,0.0
AHNAK,5.4012345679012355e-05
CLSPN,0.0005038225059964189
BRI3,0.0
PPT1,2.873563218390802e-05
TYMP,8.18759936406995e-05
CNTNAP2,2.906976744186046e-05
CKB,0.0020781488474986925
IL6R,0.0023931070520426772
HELLS,0.0015487012775503629
TGFBR3L,0.0
ZNF503,0.00018265928237233824
TNF,0.0
ODC1,0.0
PRSS23,8.298543010125267e-05
RSAD2,5.417956656346752e-05
P3H2,0.0
MAP3K8,0.0017086504038506976
ENAH,0.0005767090620031797
QPRT,0.00012962962962962963
