col_name,feature_importance_vals
CXCL8,0.0
VIM,0.0
LCN2,0.00043997675666260076
IL1B,0.0
S100A4,0.0
EREG,0.0
SERPINA1,0.0
LTB,0.0
HIST1H4C,0.0
CXCL2,7.042944337261522e-05
CRIP1,0.0
G0S2,5.350086944539414e-05
ISG15,0.0
NEAT1,0.0
MT2A,4.156468353659681e-05
TOP2A,0.0
ATP1B1,6.35549871693575e-05
ID2,0.0
GAPDH,0.0
IL32,0.0
FTL,0.0
ANXA2,0.0
CD38,0.0
CD24,0.00013304064387154464
CENPF,0.0
PDIA4,0.0001111728947781083
IGFBP7,0.0
EGR1,5.38321793874111e-05
PPP1R14A,0.0
ID1,0.00011613349119972007
ID3,3.7492754674680725e-05
UGCG,0.0
SRGN,0.0
MKI67,4.8042391204959986e-05
ACTB,0.0
MYL9,0.0
CD9,0.0016309156042696705
IL1RN,0.0
NPC2,0.0
CA2,0.0
HSP90B1,5.152136088040847e-05
C12orf75,0.0
IFI27,0.0023031028308301313
IFI6,0.0
CEBPD,0.00012817845866503448
BEX1,0.0
S100A9,0.0
TGFBI,9.134419870170902e-05
SOD2,0.0
AREG,5.2240584560615904e-05
HMGA1,0.0
TNFAIP2,0.0
TNFSF10,0.0
CLIC3,0.0
CTSB,5.803637394549859e-05
ATF3,0.0
CYBA,0.0
PDZK1IP1,0.00017270362392602715
MT1E,0.0
INHBA,0.00016831234541905666
CALR,5.075143202921219e-05
CST6,0.0
CYP1B1,5.38321793874111e-05
IFIT2,0.0
IFIT3,0.0
TACSTD2,0.000943391901718498
CCNB1,0.0022581207902147623
CD74,0.0
CDKN2A,0.0
NFKBIZ,0.0
MROH8,2.9155516568297084e-05
YBX3,0.0
CXCL3,0.0
PLAC8,0.0
POU2F2,0.0
IFIT1,0.0
UBE2C,0.00010522130443119309
HMOX1,0.0
PBK,0.0005166545115525174
CDCP1,0.009589613396418915
C15orf48,0.0
CLU,6.0653256057111166e-05
MAL,5.075143202921219e-05
JUN,0.0
CCNE2,0.008976406389604206
CDKN1C,0.0
TPM1,6.35549871693575e-05
S100A6,0.0
THBS1,0.0001825029718937203
CD40,8.289161252591041e-05
PLK2,0.00010466634245101075
ITGB1,0.0
PYCARD,0.0
NME4,0.0
NFKBIA,0.0
NAMPT,0.0
CDC20,0.000143024213487128
MGST1,4.2504545078181266e-05
MEF2C,0.0
PLAUR,7.975037564374597e-05
CD69,0.0
MX1,0.0
PHGDH,0.0
FOS,0.0
NCAM1,0.0
CYB5D2,0.0
BID,0.0
IFITM2,0.0
PTPRS,0.0
ARPC1B,0.0
LIMS1,5.553750080269239e-05
TPX2,0.0
RNASET2,0.0
IL6,0.0
NET1,5.059293402739584e-05
MYC,0.0
TPM4,6.679241015590995e-05
EFHD2,0.0
GLIPR1,0.0
VCAN,0.0
PARD3,0.0
TAGLN,0.0009403580411009165
OGFRL1,7.042944337261522e-05
EGLN3,0.0
TSHZ2,0.0
DDIT4,0.0
BIRC3,0.0
CKS2,0.0006024918165446179
UCP2,0.0
CLEC4E,0.0
CD82,0.0
SAT1,0.0
TNIP3,0.0
DLGAP5,0.00149223224391573
NUF2,6.905183293140027e-05
CCNB2,0.005870775220205728
PTGS2,0.0
SSR3,0.0
SYN1,0.0
HSPA5,9.049271442902546e-05
RGS2,0.0
FEZ1,2.8293594019135037e-05
NUSAP1,0.0004970439064459929
PTTG1,0.00010320263659831344
SDC2,0.0001443747051608295
TYMS,4.802360367289404e-05
MGLL,0.0
CCND1,0.0
FXYD2,0.0
OASL,0.0
CLGN,6.600631996211356e-05
PDIA6,0.0
HGD,0.0
KPNA2,0.0
TNFAIP3,0.0
IER3,7.79354796074344e-05
UBE2S,0.00026075341325077726
PCNA,0.0025025697500437737
ADM,0.0
HBEGF,0.0011298265145995932
HERPUD1,0.0
RGCC,0.0
ITGB3,0.0
MT-ATP6,0.0
KLF10,0.0
CDK6,2.535071486151353e-05
TCF4,0.0
HIST1H1E,0.0
CXCL16,0.0
IFI44L,0.0
COL6A2,9.248194032421638e-05
GADD45B,0.0
RPLP1,0.0
CEBPB,0.0
HIST1H2AJ,0.0
PEG10,3.7492754674680725e-05
RNF144B,0.0
TNFRSF21,0.001196190881778484
NRG1,0.0
CREB5,0.0
PLA2G7,0.0
B3GNT7,0.0
LDLR,0.002130424362948801
DDAH2,0.0
HIST1H1D,0.00013421033772453576
FAM111B,0.0036886961051634643
CTSV,0.010916316028695259
LY6E,2.4122210803329708e-05
SGK1,0.0
ZG16B,0.0
AKR1C3,0.0002398293603873211
TFRC,0.0
HIST1H1C,0.0
HHEX,0.0
TUBB6,0.0014677622860281186
DNAJC12,0.0
LDHB,0.0
SERPINB2,0.0
DMC1,0.0
DUSP4,0.0001584582470305323
QPCT,0.0
RPS18,0.0
INSIG1,0.0
H1F0,0.0
FOLR3,0.0
HMGN2,0.0
KCNQ1OT1,0.0
HERC5,0.0004304267651895999
GBP4,0.0
CCDC28B,0.0
PIM1,0.0
KLF4,0.0
ENPP1,0.0
HIST1H2BG,0.0
CD14,0.0
DUSP5,0.0
TMEM98,0.0
ARHGAP24,0.0
RPS24,0.0
ST14,0.0
DAPP1,0.0
ACTN1,0.0
HMMR,0.00041327310437552306
LYAR,0.0
RAB11FIP1,3.7492754674680725e-05
TSPAN13,0.0
LAD1,9.346527107482593e-05
WARS,0.0
BASP1,0.0001766114099601096
HES1,0.00019898081684344466
FANK1,0.0
MYLK,0.00016644298576299387
KYNU,0.0
P2RY6,0.00011981811021256505
SPHK1,4.5640143009508326e-05
SLC1A5,0.0002556119017912326
ALOX5,0.0
CENPE,0.0
IL4R,0.0
CALU,2.6020080935942354e-05
SPDL1,8.582442658598195e-05
ISG20,0.0
DUSP6,0.0
HIST1H1B,0.0005159450972136564
CCND2,0.0
GBP1,0.0
UBE2J1,0.0
MT-ND1,0.0
MDK,0.00015715184815682026
CDA,0.0001381398441818354
ARL4C,0.0
MT-ND4,0.0
SLC16A3,0.0005056643812562768
IL1R1,0.00014207606022099116
SPNS3,0.0
HIST1H2AC,0.00010524049107623525
ADAMTS1,8.679214136425897e-05
HIST1H2AH,0.00023185328301242786
SAV1,0.0021532103610101307
YBX1,0.0
MPP1,0.0
S100P,0.0
RAB13,0.0027203859143557748
SLC16A1-AS1,5.931197021174296e-05
TUBA1A,0.0
CRELD2,0.0
XBP1,2.9155516568297084e-05
ARID5B,0.0
FOXJ1,0.0
NEXN,0.0
SNCA,0.0
MANF,4.935489848823979e-05
CXCL1,7.621189602562534e-05
PLK1,0.0023187608915241796
PSME2,0.0
SIRPB1,0.0
UNG,0.0033771655001919843
OAS3,2.2512120078719216e-05
LAT2,0.0
HMGCS1,0.0
CNN2,0.0
SERINC2,0.004074307687891723
IRS2,0.0
ATAD2,0.00038113292387882485
PADI2,2.9155516568297084e-05
CTSC,0.0
AHNAK,0.0
CLSPN,0.001232523141806735
BRI3,2.4719156803389214e-05
PPT1,0.0
TYMP,0.0
CNTNAP2,0.0
CKB,0.004651063378516534
IL6R,0.0
HELLS,0.009111931181077797
TGFBR3L,0.0
ZNF503,0.0006361155040499597
TNF,0.0
ODC1,0.0
PRSS23,0.00011720109712760559
RSAD2,0.0
P3H2,5.682163123220057e-05
MAP3K8,0.0
ENAH,0.004703601986640336
QPRT,0.00013524445625304966
RGS10,0.0
HNRNPAB,0.00016407501826368773
LGALS3,0.0
THBD,0.0
HNMT,0.0
STOM,0.0
SYNGR1,0.0
GADD45A,0.0
IGFBP4,0.00017378146087507237
IFI30,0.0
LTBP1,0.0
VEGFA,0.007676813506137532
SEC61A1,0.0
GATA3,0.0
CENPA,0.0003587973878781767
CITED2,0.0
CD70,0.00014968725005494538
STAT1,0.0
LIMS2,2.8293594019135037e-05
SAMHD1,0.0
SNRNP25,0.00011272833226171292
BACE2,0.0019393529564373834
NRIP3,5.248976550870335e-05
PARVB,7.79354796074344e-05
SDF2L1,0.0
NMT2,0.0
MSLN,0.0006344780808205706
