col_name,feature_importance_vals
SH2D4A,0.0005006527852387399
BIK,0.00036465693788060433
MCM8,0.0003257085182735812
BAIAP2,0.0003186417525932033
SHCBP1,0.0003045842471840682
DTL,0.0003031699528961275
CRNDE,0.00030168404747560996
MCM2,0.00029658568966896477
CRIM1,0.0002756344752318363
KIF3B,0.0002666427349632045
ZWINT,0.0002494100282629393
BYSL,0.0002448229182752018
CXADR,0.00023900050561331568
CTSV,0.00022808660859856435
FHL2,0.000226998454025231
CDC6,0.00022501485016925755
BTBD3,0.0002210919001766642
WRN,0.00022072203188084708
BCL2L1,0.00020493163180094397
FBXO5,0.00020329173960283154
HELLS,0.00020075906012549774
CDCP1,0.0001985955659681912
ARHGAP23,0.00019172458853223534
CCNE2,0.00019099721005671105
TRNP1,0.00019067461322759422
SQLE,0.00017710439140022674
AFAP1L1,0.00017267504308244469
SAMD1,0.00016894145019492806
CCDC34,0.00016768351982759648
TXNDC5,0.00016585637305025804
F11R,0.0001614637266511174
CD3EAP,0.00015573828711770393
VEGFA,0.00015379376651995753
MSH6,0.00015268349033884375
RPL26L1,0.00015065602457773524
CCDC86,0.0001503701142010745
CHD8,0.00014528809961205443
ZNF787,0.00014280100836285933
L1CAM,0.0001405309707617447
DST,0.00013783622153892803
TNFAIP1,0.00013619233302227148
MYOF,0.00013334953800647056
UHRF1BP1,0.00012884381227752832
NCOR2,0.00012855714469629155
MCM4,0.00012839321759366892
IER5L,0.0001266796319991908
CCNB2,0.0001251114259061434
WWC2,0.00012122319126418257
TRIP13,0.00011974014141465118
VKORC1L1,0.00011925442048480933
CDC25C,0.0001190062968239183
LINC00467,0.00011688000734199444
RBBP8,0.00011674799940207383
TINAGL1,0.00011587119375784789
GRB7,0.00011585839478872705
NFIB,0.00011513297195005952
TMA16,0.00011358105749242923
CHPF,0.00011046299653869079
FSCN1,0.00010970259200257136
UGDH,0.00010922252166603531
GSTO2,0.00010857772363507993
ALDH7A1,0.00010824565798019781
KIF1B,0.00010812805901984246
OCLN,0.00010557100410310315
PPME1,0.00010444951311973022
BDNF,0.0001036979150858592
ENAH,0.00010243993159757836
CKB,0.00010115723910044472
EPHA2,0.00010097542996925145
CTTN,0.00010025847706981013
PALLD,9.89925956373519e-05
CHAF1A,9.766109797104742e-05
HMGN5,9.498807182109034e-05
CDCA7,9.089748262285996e-05
SURF6,9.067543514712624e-05
GARS,9.054357587391483e-05
GTF2F2,8.907492646657647e-05
RFC5,8.70085497326326e-05
CEBPZ,8.590908888471691e-05
FGFBP1,8.580422564651968e-05
SERINC2,8.551861432385081e-05
TK1,8.514247344664814e-05
LIG1,8.504980272038214e-05
F3,8.471868388391942e-05
CEP295,8.465024490277025e-05
CDCA8,8.416238981088494e-05
GNG12,8.292897053569387e-05
TRIP10,8.211134272733914e-05
FAM111B,8.184240520912887e-05
CUEDC1,8.093830398780669e-05
MND1,7.895514245722906e-05
SERPINE2,7.707203386134215e-05
FLNB,7.618229903797144e-05
MPP5,7.614086208867655e-05
AHNAK2,7.505781031251627e-05
DEPDC1,7.478575483158483e-05
BCAR3,7.242280184786135e-05
SPC24,7.23950384878552e-05
APOL1,7.229971826805123e-05
MIEF1,7.057133531370085e-05
SPRY1,7.043026480761643e-05
MACC1,6.865635187254637e-05
PAWR,6.809355288548682e-05
CDT1,6.789021676956562e-05
SAMD12,6.739205417378324e-05
KCNK1,6.603947243754916e-05
POLB,6.453395587683901e-05
PAK1IP1,6.41225866771342e-05
NETO2,6.276533166362747e-05
PHLDA1,6.247058197985134e-05
FN1,6.238333966864624e-05
UNG,6.227535853582123e-05
PHLDA2,6.131218976261239e-05
PCNA,6.091637424089983e-05
BTG3,6.0660940530605416e-05
FANCI,5.974561494136855e-05
RAB13,5.892020258348006e-05
SMOX,5.776249689677637e-05
FAM98A,5.660801489203201e-05
THOP1,5.633653640217697e-05
CERCAM,5.625796965298987e-05
MYRF,5.5839900051797725e-05
PM20D2,5.538045488123074e-05
RFC3,5.425695250061293e-05
ZBED2,5.284956916924433e-05
MFAP5,5.189296034762424e-05
MELK,5.108324774652322e-05
TRIM58,5.04290227291476e-05
PLK1,4.980518020303943e-05
CCNB1,4.95843572485917e-05
MTHFD2,4.90759569081787e-05
GK5,4.8912493414189676e-05
DUSP14,4.7804592871063805e-05
PSPH,4.7638358747548344e-05
IFI27,4.733284971777207e-05
TMEM97,4.71556619223778e-05
BACE2,4.6759285505987075e-05
NOP14,4.651847159531309e-05
AURKB,4.5505519273201646e-05
